Account Name,Custom Account Name,Sum Net Position,Sum Long Position,Sum Short Position,Account,Statement Date,CCY,Last Trading Date,Contract Code,Exchange Code,Exchange Name,Month,Option Expiry Date,Strike,Year,Instrument Type,Settlement Price,Sum Unrealized P&L,Contract Description,P/C ,Instrument,Delta Factor,Delta Quotient,First Exercise Date ,Instrument Code,Pending Settlement Date,First Notice Date,Prompt Date,Account Type Description,Equity Description,Exportable Settlement Price,Transaction Source Type,Account Sequence,CFTC Account Number New,Business Unit,OPTION_SERIAL_MONTH+OPTION_SERIAL_YEAR,Avg Buy Price,Avg Sell Price,Prev. Sttl,Sttl Today
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,-719,1000,1719,81082801,20181031,CNY,20190517,y,7C,DCE,05,,,19,,5722.00,-13780.00,Soybean Oil 19 May,,,,,,,,,,,,,,,,,,5847.99,5794.49,5754.00,5722.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,-1682,0,1682,81082801,20181031,CNY,20190517,y,7C,DCE,05,,,19,,5722.00,1113140.00,Soybean Oil 19 May,,,,,,,,,,,,,,,,,,0.00,5788.18,5754.00,5722.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,-779,0,779,81082801,20181031,CNY,20190115,OI,7O,CZCE,01,,,19,,6554.00,78890.00,Rap Oil 19 Jan,,,,,,,,,,,,,,,,,,0.00,6564.13,6593.00,6554.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,361,400,39,81082801,20181031,CNY,20190517,OI,7O,CZCE,05,,,19,,6724.00,-349290.00,Rap Oil 19 May,,,,,,,,,,,,,,,,,,6822.50,6838.64,6766.00,6724.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,2463,2466,3,81082801,20181031,CNY,20190115,RM,7O,CZCE,01,,,19,,2488.00,-1662860.00,Rap Meal 19 Jan,,,,,,,,,,,,,,,,,,2555.55,2588.00,2507.00,2488.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,-1671,23,1694,81082801,20181031,CNY,20190517,RM,7O,CZCE,05,,,19,,2329.00,1105860.00,Rap Meal 19 May,,,,,,,,,,,,,,,,,,2396.00,2395.19,2344.00,2329.00
Cargill Investments(China) Ltd Beijing Branch,Cargill Investments(China) Ltd Beijing Branch,500,500,0,81082802,20181031,CNY,20190115,m,7C,DCE,01,,,19,,3315.00,35000.00,Soybean Meal 19 Jan,,,,,,,,,,,,,,,,,,3308.00,0.00,3317.00,3315.00
Cargill Investments(China) Ltd Beijing Branch,Cargill Investments(China) Ltd Beijing Branch,500,500,0,81082802,20181031,CNY,20190517,m,7C,DCE,05,,,19,,2837.00,4420.00,Soybean Meal 19 May,,,,,,,,,,,,,,,,,,2836.12,0.00,2841.00,2837.00
Cargill Investments(China) Ltd Beijing Branch,Cargill Investments(China) Ltd Beijing Branch,-500,0,500,81082802,20181031,CNY,20190916,m,7C,DCE,09,,,19,,2779.00,-14420.00,Soybean Meal 19 Sep,,,,,,,,,,,,,,,,,,0.00,2776.12,2780.00,2779.00
Cargill Grain&Oilseeds(Nantong) Ltd,Cargill Grain&Oilseeds(Nantong) Ltd,2339,2339,0,815139,20181031,CNY,20181114,m,7C,DCE,11,,,18,,3437.000,-3438330.00,Soybean Meal 18 Nov,,,,,,,,,,,,,,,,,,3584.000,0.000,3460.000,3437.000
Cargill Grain&Oilseeds(Nantong) Ltd,Cargill Grain&Oilseeds(Nantong) Ltd,1661,1661,0,815139,20181031,CNY,20181114,m,7C,DCE,11,,,18,,3437.000,-2322760.00,Soybean Meal 18 Nov,,,,,,,,,,,,,,,,,,3576.841,0.000,3460.000,3437.000
Cargill Grain&Oilseeds(Nantong) Ltd,Cargill Grain&Oilseeds(Nantong) Ltd,17,17,0,815139,20181031,CNY,20181214,m,7C,DCE,12,,,18,,3394.000,35240.00,Soybean Meal 18 Dec,,,,,,,,,,,,,,,,,,3186.706,0.000,3398.000,3394.000
Cargill Grain&Oilseeds(Nantong) Ltd,Cargill Grain&Oilseeds(Nantong) Ltd,281,300,19,815139,20181031,CNY,20190115,m,7C,DCE,01,,,19,,3315.000,-89520.00,Soybean Meal 19 Jan,,,,,,,,,,,,,,,,,,3352.440,3435.000,3317.000,3315.000
Cargill Grain&Oilseeds(Nantong) Ltd,Cargill Grain&Oilseeds(Nantong) Ltd,-129,0,129,815139,20181031,CNY,20190517,b,7C,DCE,05,,,19,,3229.000,16570.00,Soybean II 19 May,,,,,,,,,,,,,,,,,,0.000,3241.845,3226.000,3229.000
