|   交易所   |      品种      |      合约      |开仓日期 |    投/保    |买/卖| 持仓量|    开仓价     |  昨结算  |     结算价     |  浮动盈亏  |  盯市盈亏 |   保证金   |       期权市值       |
|  Exchange  |     Product    |   Instrument   |Open Date|     S/H     | B/S |Positon|Pos. Open Price|Prev. Sttl|Settlement Price| Accum. P/L |  MTM P/L  |   Margin   | Market Value(Options)|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3247.000|  3226.000|        3229.000|      180.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3248.000|  3226.000|        3229.000|      190.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3248.000|  3226.000|        3229.000|      190.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3247.000|  3226.000|        3229.000|      180.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3248.000|  3226.000|        3229.000|      190.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3248.000|  3226.000|        3229.000|      190.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3250.000|  3226.000|        3229.000|      210.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3249.000|  3226.000|        3229.000|      200.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3248.000|  3226.000|        3229.000|      190.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3249.000|  3226.000|        3229.000|      200.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3249.000|  3226.000|        3229.000|      200.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3244.000|  3226.000|        3229.000|      150.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3243.000|  3226.000|        3229.000|      140.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3243.000|  3226.000|        3229.000|      140.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      2|       3243.000|  3226.000|        3229.000|      280.00|     -60.00|     5166.40|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3243.000|  3226.000|        3229.000|      140.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      2|       3245.000|  3226.000|        3229.000|      320.00|     -60.00|     5166.40|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      2|       3245.000|  3226.000|        3229.000|      320.00|     -60.00|     5166.40|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      2|       3248.000|  3226.000|        3229.000|      380.00|     -60.00|     5166.40|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      3|       3246.000|  3226.000|        3229.000|      510.00|     -90.00|     7749.60|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3247.000|  3226.000|        3229.000|      180.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      1|       3248.000|  3226.000|        3229.000|      190.00|     -30.00|     2583.20|                  0.00|
|   大商所   |   黄大豆2号    |     b1905      | 20180828|投           |   卖|      3|       3246.000|  3226.000|        3229.000|      510.00|     -90.00|     7749.60|                  0.00|
